pais,indicador,anio,valor
DEU,SP.DYN.LE00.IN,2009,79.8365853658537
DEU,SP.DYN.LE00.IN,2008,79.7365853658537
DEU,SP.DYN.LE00.IN,2007,79.5341463414634
DEU,SP.DYN.LE00.IN,2006,79.1317073170732
DEU,SP.DYN.LE00.IN,2005,78.9317073170732
DEU,SP.DYN.LE00.IN,2004,78.6804878048781
DEU,SP.DYN.LE00.IN,2003,78.3804878048781
DEU,SP.DYN.LE00.IN,2002,78.2292682926829
DEU,SP.DYN.LE00.IN,2001,78.3292682926829
DEU,SP.DYN.LE00.IN,2000,77.9268292682927
USA,SP.DYN.LE00.IN,2022,77.4341463414634
USA,SP.DYN.LE00.IN,2021,76.3292682926829
USA,SP.DYN.LE00.IN,2020,76.9804878048781
USA,SP.DYN.LE00.IN,2019,78.7878048780488
USA,SP.DYN.LE00.IN,2018,78.6390243902439
USA,SP.DYN.LE00.IN,2017,78.5390243902439
USA,SP.DYN.LE00.IN,2016,78.5390243902439
USA,SP.DYN.LE00.IN,2015,78.690243902439
USA,SP.DYN.LE00.IN,2014,78.8414634146341
USA,SP.DYN.LE00.IN,2013,78.7414634146342
USA,SP.DYN.LE00.IN,2012,78.7414634146342
USA,SP.DYN.LE00.IN,2011,78.6414634146341
USA,SP.DYN.LE00.IN,2010,78.5414634146342
USA,SP.DYN.LE00.IN,2009,78.390243902439
USA,SP.DYN.LE00.IN,2008,78.0390243902439
USA,SP.DYN.LE00.IN,2007,77.9878048780488
USA,SP.DYN.LE00.IN,2006,77.6878048780488
USA,SP.DYN.LE00.IN,2005,77.4878048780488
USA,SP.DYN.LE00.IN,2004,77.4878048780488
USA,SP.DYN.LE00.IN,2003,77.0365853658537
USA,SP.DYN.LE00.IN,2002,76.9365853658537
USA,SP.DYN.LE00.IN,2001,76.8365853658537
USA,SP.DYN.LE00.IN,2000,76.6365853658537
CHN,SP.DYN.LE00.IN,2022,78.587
CHN,SP.DYN.LE00.IN,2021,78.211
CHN,SP.DYN.LE00.IN,2020,78.077
CHN,SP.DYN.LE00.IN,2019,77.968
CHN,SP.DYN.LE00.IN,2018,77.744
CHN,SP.DYN.LE00.IN,2017,77.248
CHN,SP.DYN.LE00.IN,2016,77.218
CHN,SP.DYN.LE00.IN,2015,76.977
CHN,SP.DYN.LE00.IN,2014,76.717
CHN,SP.DYN.LE00.IN,2013,76.452
CHN,SP.DYN.LE00.IN,2012,76.192
CHN,SP.DYN.LE00.IN,2011,75.903
CHN,SP.DYN.LE00.IN,2010,75.599
CHN,SP.DYN.LE00.IN,2009,75.343
CHN,SP.DYN.LE00.IN,2008,74.872
CHN,SP.DYN.LE00.IN,2007,74.762
CHN,SP.DYN.LE00.IN,2006,74.504
CHN,SP.DYN.LE00.IN,2005,74.111
CHN,SP.DYN.LE00.IN,2004,73.748
CHN,SP.DYN.LE00.IN,2003,73.371
CHN,SP.DYN.LE00.IN,2002,72.985
CHN,SP.DYN.LE00.IN,2001,72.606
CHN,SP.DYN.LE00.IN,2000,71.881
IND,SP.DYN.LE00.IN,2022,67.744
IND,SP.DYN.LE00.IN,2021,67.24
IND,SP.DYN.LE00.IN,2020,70.15
IND,SP.DYN.LE00.IN,2019,70.91
IND,SP.DYN.LE00.IN,2018,70.71
IND,SP.DYN.LE00.IN,2017,70.467
IND,SP.DYN.LE00.IN,2016,70.117
IND,SP.DYN.LE00.IN,2015,69.636
IND,SP.DYN.LE00.IN,2014,69.074
IND,SP.DYN.LE00.IN,2013,68.46
IND,SP.DYN.LE00.IN,2012,67.887
IND,SP.DYN.LE00.IN,2011,67.359
IND,SP.DYN.LE00.IN,2010,66.909
IND,SP.DYN.LE00.IN,2009,66.513
IND,SP.DYN.LE00.IN,2008,66.149
IND,SP.DYN.LE00.IN,2007,65.788
IND,SP.DYN.LE00.IN,2006,65.412
IND,SP.DYN.LE00.IN,2005,64.996
IND,SP.DYN.LE00.IN,2004,64.524
IND,SP.DYN.LE00.IN,2003,64.094
IND,SP.DYN.LE00.IN,2002,63.616
IND,SP.DYN.LE00.IN,2001,63.091
IND,SP.DYN.LE00.IN,2000,62.669
COL,SP.DYN.LE00.IN,2022,73.659
COL,SP.DYN.LE00.IN,2021,72.83
COL,SP.DYN.LE00.IN,2020,74.769
COL,SP.DYN.LE00.IN,2019,76.752
COL,SP.DYN.LE00.IN,2018,76.748
COL,SP.DYN.LE00.IN,2017,76.646
COL,SP.DYN.LE00.IN,2016,76.471
COL,SP.DYN.LE00.IN,2015,76.257
COL,SP.DYN.LE00.IN,2014,76.043
COL,SP.DYN.LE00.IN,2013,75.827
COL,SP.DYN.LE00.IN,2012,75.597
COL,SP.DYN.LE00.IN,2011,75.32
COL,SP.DYN.LE00.IN,2010,75.033
COL,SP.DYN.LE00.IN,2009,74.742
COL,SP.DYN.LE00.IN,2008,74.295
COL,SP.DYN.LE00.IN,2007,73.837
COL,SP.DYN.LE00.IN,2006,73.468
COL,SP.DYN.LE00.IN,2005,73.081
COL,SP.DYN.LE00.IN,2004,72.695
COL,SP.DYN.LE00.IN,2003,72.361
COL,SP.DYN.LE00.IN,2002,71.939
COL,SP.DYN.LE00.IN,2001,71.502
COL,SP.DYN.LE00.IN,2000,71.32
PER,SP.DYN.LE00.IN,2022,73.385
PER,SP.DYN.LE00.IN,2021,72.377
PER,SP.DYN.LE00.IN,2020,73.665
PER,SP.DYN.LE00.IN,2019,76.156
PER,SP.DYN.LE00.IN,2018,76.009
PER,SP.DYN.LE00.IN,2017,75.879
PER,SP.DYN.LE00.IN,2016,75.789
PER,SP.DYN.LE00.IN,2015,75.621
PER,SP.DYN.LE00.IN,2014,75.333
PER,SP.DYN.LE00.IN,2013,74.967
PER,SP.DYN.LE00.IN,2012,74.544
PER,SP.DYN.LE00.IN,2011,74.133
PER,SP.DYN.LE00.IN,2010,73.711
PER,SP.DYN.LE00.IN,2009,73.466
PER,SP.DYN.LE00.IN,2008,73.377
PER,SP.DYN.LE00.IN,2007,73.223
PER,SP.DYN.LE00.IN,2006,73.172
PER,SP.DYN.LE00.IN,2005,72.986
PER,SP.DYN.LE00.IN,2004,72.668
PER,SP.DYN.LE00.IN,2003,72.217
PER,SP.DYN.LE00.IN,2002,71.661
PER,SP.DYN.LE00.IN,2001,71.041
PER,SP.DYN.LE00.IN,2000,70.424
CHL,SP.DYN.LE00.IN,2022,79.519
CHL,SP.DYN.LE00.IN,2021,78.944
CHL,SP.DYN.LE00.IN,2020,79.377
CHL,SP.DYN.LE00.IN,2019,80.326
CHL,SP.DYN.LE00.IN,2018,80.133
CHL,SP.DYN.LE00.IN,2017,80.35
CHL,SP.DYN.LE00.IN,2016,80.079
CHL,SP.DYN.LE00.IN,2015,79.746
CHL,SP.DYN.LE00.IN,2014,79.473
CHL,SP.DYN.LE00.IN,2013,79.339
CHL,SP.DYN.LE00.IN,2012,79.023
CHL,SP.DYN.LE00.IN,2011,79.11
CHL,SP.DYN.LE00.IN,2010,78.501
CHL,SP.DYN.LE00.IN,2009,78.741
CHL,SP.DYN.LE00.IN,2008,78.484
CHL,SP.DYN.LE00.IN,2007,77.826
CHL,SP.DYN.LE00.IN,2006,78.261
CHL,SP.DYN.LE00.IN,2005,78.016
CHL,SP.DYN.LE00.IN,2004,77.616
CHL,SP.DYN.LE00.IN,2003,77.387
CHL,SP.DYN.LE00.IN,2002,77.445
CHL,SP.DYN.LE00.IN,2001,76.773
CHL,SP.DYN.LE00.IN,2000,76.87
VEN,SP.DYN.LE00.IN,2022,71.105
VEN,SP.DYN.LE00.IN,2021,70.554
VEN,SP.DYN.LE00.IN,2020,71.095
VEN,SP.DYN.LE00.IN,2019,72.161
VEN,SP.DYN.LE00.IN,2018,71.979
VEN,SP.DYN.LE00.IN,2017,71.943
VEN,SP.DYN.LE00.IN,2016,72.058
VEN,SP.DYN.LE00.IN,2015,73.006
VEN,SP.DYN.LE00.IN,2014,72.853
VEN,SP.DYN.LE00.IN,2013,73.196
VEN,SP.DYN.LE00.IN,2012,73.036
VEN,SP.DYN.LE00.IN,2011,72.913
VEN,SP.DYN.LE00.IN,2010,72.89
VEN,SP.DYN.LE00.IN,2009,72.579
VEN,SP.DYN.LE00.IN,2008,72.436
VEN,SP.DYN.LE00.IN,2007,73.058
VEN,SP.DYN.LE00.IN,2006,72.742
VEN,SP.DYN.LE00.IN,2005,72.782
VEN,SP.DYN.LE00.IN,2004,72.514
VEN,SP.DYN.LE00.IN,2003,71.94
VEN,SP.DYN.LE00.IN,2002,72.662
VEN,SP.DYN.LE00.IN,2001,71.201
VEN,SP.DYN.LE00.IN,2000,72.478
FRA,SP.DYN.LE00.IN,2022,82.2292682926829
FRA,SP.DYN.LE00.IN,2021,82.3243902439024
FRA,SP.DYN.LE00.IN,2020,82.1756097560976
FRA,SP.DYN.LE00.IN,2019,82.8268292682927
FRA,SP.DYN.LE00.IN,2018,82.6756097560976
FRA,SP.DYN.LE00.IN,2017,82.5756097560976
FRA,SP.DYN.LE00.IN,2016,82.5731707317073
FRA,SP.DYN.LE00.IN,2015,82.3219512195122
FRA,SP.DYN.LE00.IN,2014,82.719512195122
FRA,SP.DYN.LE00.IN,2013,82.219512195122
FRA,SP.DYN.LE00.IN,2012,81.9682926829268
FRA,SP.DYN.LE00.IN,2011,82.1146341463415
FRA,SP.DYN.LE00.IN,2010,81.6634146341463
FRA,SP.DYN.LE00.IN,2009,81.4146341463415
FRA,SP.DYN.LE00.IN,2008,81.2146341463415
FRA,SP.DYN.LE00.IN,2007,81.1121951219512
FRA,SP.DYN.LE00.IN,2006,80.8121951219512
FRA,SP.DYN.LE00.IN,2005,80.1634146341463
FRA,SP.DYN.LE00.IN,2004,80.1634146341463
FRA,SP.DYN.LE00.IN,2003,79.1146341463415
FRA,SP.DYN.LE00.IN,2002,79.2609756097561
FRA,SP.DYN.LE00.IN,2001,79.1585365853659
FRA,SP.DYN.LE00.IN,2000,79.0560975609756
ITA,SP.DYN.LE00.IN,2022,82.9
ITA,SP.DYN.LE00.IN,2021,82.6463414634146
ITA,SP.DYN.LE00.IN,2020,82.1951219512195
ITA,SP.DYN.LE00.IN,2019,83.4975609756098
ITA,SP.DYN.LE00.IN,2018,83.3463414634146
ITA,SP.DYN.LE00.IN,2017,82.9463414634147
ITA,SP.DYN.LE00.IN,2016,83.2439024390244
ITA,SP.DYN.LE00.IN,2015,82.5439024390244
ITA,SP.DYN.LE00.IN,2014,83.090243902439
ITA,SP.DYN.LE00.IN,2013,82.690243902439
ITA,SP.DYN.LE00.IN,2012,82.2390243902439
ITA,SP.DYN.LE00.IN,2011,82.1878048780488
ITA,SP.DYN.LE00.IN,2010,82.0365853658537
ITA,SP.DYN.LE00.IN,2009,81.6365853658537
ITA,SP.DYN.LE00.IN,2008,81.4853658536585
ITA,SP.DYN.LE00.IN,2007,81.4341463414634
ITA,SP.DYN.LE00.IN,2006,81.2829268292683
ITA,SP.DYN.LE00.IN,2005,80.7829268292683
ITA,SP.DYN.LE00.IN,2004,80.7804878048781
ITA,SP.DYN.LE00.IN,2003,79.9829268292683
ITA,SP.DYN.LE00.IN,2002,80.2292682926829
ITA,SP.DYN.LE00.IN,2001,80.1268292682927
ITA,SP.DYN.LE00.IN,2000,79.7780487804878
GBR,SP.DYN.LE00.IN,2022,82.0585365853659
GBR,SP.DYN.LE00.IN,2021,80.7
GBR,SP.DYN.LE00.IN,2020,80.3512195121951
GBR,SP.DYN.LE00.IN,2019,81.4048780487805
GBR,SP.DYN.LE00.IN,2018,81.2560975609756
GBR,SP.DYN.LE00.IN,2017,81.2560975609756
GBR,SP.DYN.LE00.IN,2016,81.1560975609756
GBR,SP.DYN.LE00.IN,2015,80.9560975609756
GBR,SP.DYN.LE00.IN,2014,81.3048780487805
GBR,SP.DYN.LE00.IN,2013,81.0048780487805
GBR,SP.DYN.LE00.IN,2012,80.9048780487805
GBR,SP.DYN.LE00.IN,2011,80.9512195121951
GBR,SP.DYN.LE00.IN,2010,80.4024390243902
GBR,SP.DYN.LE00.IN,2009,80.0512195121951
GBR,SP.DYN.LE00.IN,2008,79.6
GBR,SP.DYN.LE00.IN,2007,79.4487804878049
GBR,SP.DYN.LE00.IN,2006,79.2487804878049
GBR,SP.DYN.LE00.IN,2005,79.0487804878049
GBR,SP.DYN.LE00.IN,2004,78.7463414634146
GBR,SP.DYN.LE00.IN,2003,78.4463414634146
GBR,SP.DYN.LE00.IN,2002,78.1439024390244
GBR,SP.DYN.LE00.IN,2001,77.9926829268293
GBR,SP.DYN.LE00.IN,2000,77.7414634146342
CAN,SP.DYN.LE00.IN,2022,81.2956097560976
CAN,SP.DYN.LE00.IN,2021,81.5870731707317
CAN,SP.DYN.LE00.IN,2020,81.6604878048781
CAN,SP.DYN.LE00.IN,2019,82.2239024390244
CAN,SP.DYN.LE00.IN,2018,81.8439024390244
CAN,SP.DYN.LE00.IN,2017,81.8329268292683
CAN,SP.DYN.LE00.IN,2016,81.9248780487805
CAN,SP.DYN.LE00.IN,2015,81.8156097560976
CAN,SP.DYN.LE00.IN,2014,81.7843902439025
CAN,SP.DYN.LE00.IN,2013,81.7448780487805
CAN,SP.DYN.LE00.IN,2012,81.6636585365854
CAN,SP.DYN.LE00.IN,2011,81.4826829268293
CAN,SP.DYN.LE00.IN,2010,81.3221951219512
CAN,SP.DYN.LE00.IN,2009,81.0660975609756
CAN,SP.DYN.LE00.IN,2008,80.7246341463415
CAN,SP.DYN.LE00.IN,2007,80.5436585365854
CAN,SP.DYN.LE00.IN,2006,80.5436585365854
CAN,SP.DYN.LE00.IN,2005,80.1126829268293
CAN,SP.DYN.LE00.IN,2004,79.9921951219512
CAN,SP.DYN.LE00.IN,2003,79.7151219512195
CAN,SP.DYN.LE00.IN,2002,79.5307317073171
CAN,SP.DYN.LE00.IN,2001,79.3980487804878
CAN,SP.DYN.LE00.IN,2000,79.1668292682927
JPN,SP.DYN.LE00.IN,2022,83.9963414634146
JPN,SP.DYN.LE00.IN,2021,84.4456097560976
JPN,SP.DYN.LE00.IN,2020,84.56
JPN,SP.DYN.LE00.IN,2019,84.3563414634146
JPN,SP.DYN.LE00.IN,2018,84.2109756097561
JPN,SP.DYN.LE00.IN,2017,84.099756097561
JPN,SP.DYN.LE00.IN,2016,83.9848780487805
JPN,SP.DYN.LE00.IN,2015,83.7939024390244
JPN,SP.DYN.LE00.IN,2014,83.5878048780488
JPN,SP.DYN.LE00.IN,2013,83.3319512195122
JPN,SP.DYN.LE00.IN,2012,83.0960975609756
JPN,SP.DYN.LE00.IN,2011,82.5912195121951
JPN,SP.DYN.LE00.IN,2010,82.8426829268293
JPN,SP.DYN.LE00.IN,2009,82.9314634146342
JPN,SP.DYN.LE00.IN,2008,82.5875609756098
JPN,SP.DYN.LE00.IN,2007,82.5070731707317
JPN,SP.DYN.LE00.IN,2006,82.3219512195122
JPN,SP.DYN.LE00.IN,2005,81.9551219512195
JPN,SP.DYN.LE00.IN,2004,82.030243902439
JPN,SP.DYN.LE00.IN,2003,81.76
JPN,SP.DYN.LE00.IN,2002,81.6907317073171
JPN,SP.DYN.LE00.IN,2001,81.4163414634146
JPN,SP.DYN.LE00.IN,2000,81.0760975609756
AUS,SP.DYN.LE00.IN,2022,83.2
AUS,SP.DYN.LE00.IN,2021,83.3
AUS,SP.DYN.LE00.IN,2020,83.2
AUS,SP.DYN.LE00.IN,2019,82.9
AUS,SP.DYN.LE00.IN,2018,82.7487804878049
AUS,SP.DYN.LE00.IN,2017,82.5
AUS,SP.DYN.LE00.IN,2016,82.4487804878049
AUS,SP.DYN.LE00.IN,2015,82.4
AUS,SP.DYN.LE00.IN,2014,82.3
AUS,SP.DYN.LE00.IN,2013,82.1487804878049
AUS,SP.DYN.LE00.IN,2012,82.0463414634146
AUS,SP.DYN.LE00.IN,2011,81.8951219512195
AUS,SP.DYN.LE00.IN,2010,81.6951219512195
AUS,SP.DYN.LE00.IN,2009,81.5439024390244
AUS,SP.DYN.LE00.IN,2008,81.3951219512195
AUS,SP.DYN.LE00.IN,2007,81.2926829268293
AUS,SP.DYN.LE00.IN,2006,81.0414634146342
AUS,SP.DYN.LE00.IN,2005,80.8414634146341
AUS,SP.DYN.LE00.IN,2004,80.490243902439
AUS,SP.DYN.LE00.IN,2003,80.2390243902439
AUS,SP.DYN.LE00.IN,2002,79.9365853658537
AUS,SP.DYN.LE00.IN,2001,79.6341463414634
AUS,SP.DYN.LE00.IN,2000,79.2341463414634
RUS,SP.DYN.LE00.IN,2022,72.5456097560976
RUS,SP.DYN.LE00.IN,2021,69.900243902439
RUS,SP.DYN.LE00.IN,2020,71.3387804878049
RUS,SP.DYN.LE00.IN,2019,73.0839024390244
RUS,SP.DYN.LE00.IN,2018,72.6621951219512
RUS,SP.DYN.LE00.IN,2017,72.4514634146342
RUS,SP.DYN.LE00.IN,2016,71.6512195121951
RUS,SP.DYN.LE00.IN,2015,71.1834146341463
RUS,SP.DYN.LE00.IN,2014,70.7436585365854
RUS,SP.DYN.LE00.IN,2013,70.5787804878049
RUS,SP.DYN.LE00.IN,2012,70.0721951219512
RUS,SP.DYN.LE00.IN,2011,69.6839024390244
RUS,SP.DYN.LE00.IN,2010,68.8412195121951
RUS,SP.DYN.LE00.IN,2009,68.6846341463415
RUS,SP.DYN.LE00.IN,2008,67.9492682926829
RUS,SP.DYN.LE00.IN,2007,67.5868292682927
RUS,SP.DYN.LE00.IN,2006,66.7275609756098
RUS,SP.DYN.LE00.IN,2005,65.529756097561
RUS,SP.DYN.LE00.IN,2004,65.4709756097561
RUS,SP.DYN.LE00.IN,2003,65.0275609756098
RUS,SP.DYN.LE00.IN,2002,65.1287804878049
RUS,SP.DYN.LE00.IN,2001,65.3834146341463
RUS,SP.DYN.LE00.IN,2000,65.4836585365854
ZAF,SP.DYN.LE00.IN,2022,61.48
ZAF,SP.DYN.LE00.IN,2021,62.341
ZAF,SP.DYN.LE00.IN,2020,65.252
ZAF,SP.DYN.LE00.IN,2019,66.175
ZAF,SP.DYN.LE00.IN,2018,65.674
ZAF,SP.DYN.LE00.IN,2017,65.402
ZAF,SP.DYN.LE00.IN,2016,64.747
ZAF,SP.DYN.LE00.IN,2015,63.95
ZAF,SP.DYN.LE00.IN,2014,63.38
ZAF,SP.DYN.LE00.IN,2013,62.533
ZAF,SP.DYN.LE00.IN,2012,61.846
ZAF,SP.DYN.LE00.IN,2011,60.651
ZAF,SP.DYN.LE00.IN,2010,58.899
ZAF,SP.DYN.LE00.IN,2009,57.447
ZAF,SP.DYN.LE00.IN,2008,56.022
ZAF,SP.DYN.LE00.IN,2007,54.992
ZAF,SP.DYN.LE00.IN,2006,54.278
ZAF,SP.DYN.LE00.IN,2005,53.98
ZAF,SP.DYN.LE00.IN,2004,54.043
ZAF,SP.DYN.LE00.IN,2003,54.331
ZAF,SP.DYN.LE00.IN,2002,55.666
ZAF,SP.DYN.LE00.IN,2001,57.261
ZAF,SP.DYN.LE00.IN,2000,58.47
EGY,SP.DYN.LE00.IN,2022,70.159
EGY,SP.DYN.LE00.IN,2021,70.221
EGY,SP.DYN.LE00.IN,2020,70.99
EGY,SP.DYN.LE00.IN,2019,71.358
EGY,SP.DYN.LE00.IN,2018,71.367
EGY,SP.DYN.LE00.IN,2017,71.302
EGY,SP.DYN.LE00.IN,2016,70.844
EGY,SP.DYN.LE00.IN,2015,70.483
EGY,SP.DYN.LE00.IN,2014,70.415
EGY,SP.DYN.LE00.IN,2013,70.052
EGY,SP.DYN.LE00.IN,2012,70.085
EGY,SP.DYN.LE00.IN,2011,69.88
EGY,SP.DYN.LE00.IN,2010,69.664
EGY,SP.DYN.LE00.IN,2009,69.48
EGY,SP.DYN.LE00.IN,2008,69.319
EGY,SP.DYN.LE00.IN,2007,69.128
EGY,SP.DYN.LE00.IN,2006,68.977
EGY,SP.DYN.LE00.IN,2005,68.779
EGY,SP.DYN.LE00.IN,2004,68.613
EGY,SP.DYN.LE00.IN,2003,68.402
EGY,SP.DYN.LE00.IN,2002,68.564
EGY,SP.DYN.LE00.IN,2001,68.308
EGY,SP.DYN.LE00.IN,2000,68.007
IDN,SP.DYN.LE00.IN,2022,68.25
IDN,SP.DYN.LE00.IN,2021,67.57
IDN,SP.DYN.LE00.IN,2020,68.808
IDN,SP.DYN.LE00.IN,2019,70.518
IDN,SP.DYN.LE00.IN,2018,70.338
IDN,SP.DYN.LE00.IN,2017,69.936
IDN,SP.DYN.LE00.IN,2016,69.798
IDN,SP.DYN.LE00.IN,2015,69.699
IDN,SP.DYN.LE00.IN,2014,69.533
IDN,SP.DYN.LE00.IN,2013,69.264
IDN,SP.DYN.LE00.IN,2012,68.973
IDN,SP.DYN.LE00.IN,2011,68.823
IDN,SP.DYN.LE00.IN,2010,68.679
IDN,SP.DYN.LE00.IN,2009,68.494
IDN,SP.DYN.LE00.IN,2008,68.226
IDN,SP.DYN.LE00.IN,2007,68.189
IDN,SP.DYN.LE00.IN,2006,67.914
IDN,SP.DYN.LE00.IN,2005,67.649
IDN,SP.DYN.LE00.IN,2004,65.75
IDN,SP.DYN.LE00.IN,2003,67.413
IDN,SP.DYN.LE00.IN,2002,67.134
IDN,SP.DYN.LE00.IN,2001,66.758
IDN,SP.DYN.LE00.IN,2000,66.433
TUR,SP.DYN.LE00.IN,2022,78.475
TUR,SP.DYN.LE00.IN,2021,76.032
TUR,SP.DYN.LE00.IN,2020,75.85
TUR,SP.DYN.LE00.IN,2019,77.832
TUR,SP.DYN.LE00.IN,2018,77.563
TUR,SP.DYN.LE00.IN,2017,77.141
TUR,SP.DYN.LE00.IN,2016,76.66
TUR,SP.DYN.LE00.IN,2015,76.646
TUR,SP.DYN.LE00.IN,2014,76.565
TUR,SP.DYN.LE00.IN,2013,76.297
TUR,SP.DYN.LE00.IN,2012,75.678
TUR,SP.DYN.LE00.IN,2011,74.941
TUR,SP.DYN.LE00.IN,2010,75.069
TUR,SP.DYN.LE00.IN,2009,74.765
TUR,SP.DYN.LE00.IN,2008,74.45
TUR,SP.DYN.LE00.IN,2007,74.193
TUR,SP.DYN.LE00.IN,2006,73.845
TUR,SP.DYN.LE00.IN,2005,73.534
TUR,SP.DYN.LE00.IN,2004,73.24
TUR,SP.DYN.LE00.IN,2003,72.89
TUR,SP.DYN.LE00.IN,2002,72.579
